Id;Province_State;Country_Region;Date;ConfirmedCases;Fatalities
42;;Afghanistan;03/03/2020;1.0;0.0
43;;Afghanistan;04/03/2020;1.0;0.0
44;;Afghanistan;05/03/2020;1.0;0.0
45;;Afghanistan;06/03/2020;1.0;0.0
46;;Afghanistan;07/03/2020;1.0;0.0
47;;Afghanistan;08/03/2020;4.0;0.0
48;;Afghanistan;09/03/2020;4.0;0.0
49;;Afghanistan;10/03/2020;5.0;0.0
50;;Afghanistan;11/03/2020;7.0;0.0
51;;Afghanistan;12/03/2020;7.0;0.0
52;;Afghanistan;13/03/2020;7.0;0.0
53;;Afghanistan;14/03/2020;11.0;0.0
54;;Afghanistan;15/03/2020;16.0;0.0
55;;Afghanistan;16/03/2020;21.0;0.0
56;;Afghanistan;17/03/2020;22.0;0.0
57;;Afghanistan;18/03/2020;22.0;0.0
58;;Afghanistan;19/03/2020;22.0;0.0
59;;Afghanistan;20/03/2020;24.0;0.0
60;;Afghanistan;21/03/2020;24.0;0.0
61;;Afghanistan;22/03/2020;40.0;1.0
62;;Afghanistan;23/03/2020;40.0;1.0
63;;Afghanistan;24/03/2020;74.0;1.0
64;;Afghanistan;25/03/2020;84.0;2.0
65;;Afghanistan;26/03/2020;94.0;4.0
66;;Afghanistan;27/03/2020;110.0;4.0
67;;Afghanistan;28/03/2020;110.0;4.0
68;;Afghanistan;29/03/2020;120.0;4.0
69;;Afghanistan;30/03/2020;170.0;4.0
70;;Afghanistan;31/03/2020;174.0;4.0
71;;Afghanistan;01/04/2020;237.0;4.0
72;;Afghanistan;02/04/2020;273.0;6.0
73;;Afghanistan;03/04/2020;281.0;6.0
74;;Afghanistan;04/04/2020;299.0;7.0
75;;Afghanistan;05/04/2020;349.0;7.0
76;;Afghanistan;06/04/2020;367.0;11.0
77;;Afghanistan;07/04/2020;423.0;14.0
108;;Albania;22/01/2020;0.0;0.0
109;;Albania;23/01/2020;0.0;0.0
110;;Albania;24/01/2020;0.0;0.0
111;;Albania;25/01/2020;0.0;0.0
112;;Albania;26/01/2020;0.0;0.0
113;;Albania;27/01/2020;0.0;0.0
114;;Albania;28/01/2020;0.0;0.0
115;;Albania;29/01/2020;0.0;0.0
116;;Albania;30/01/2020;0.0;0.0
117;;Albania;31/01/2020;0.0;0.0
118;;Albania;01/02/2020;0.0;0.0
119;;Albania;02/02/2020;0.0;0.0
120;;Albania;03/02/2020;0.0;0.0
121;;Albania;04/02/2020;0.0;0.0
122;;Albania;05/02/2020;0.0;0.0
123;;Albania;06/02/2020;0.0;0.0
124;;Albania;07/02/2020;0.0;0.0
125;;Albania;08/02/2020;0.0;0.0
126;;Albania;09/02/2020;0.0;0.0
127;;Albania;10/02/2020;0.0;0.0
128;;Albania;11/02/2020;0.0;0.0
129;;Albania;12/02/2020;0.0;0.0
130;;Albania;13/02/2020;0.0;0.0
131;;Albania;14/02/2020;0.0;0.0
132;;Albania;15/02/2020;0.0;0.0
133;;Albania;16/02/2020;0.0;0.0
134;;Albania;17/02/2020;0.0;0.0
135;;Albania;18/02/2020;0.0;0.0
136;;Albania;19/02/2020;0.0;0.0
137;;Albania;20/02/2020;0.0;0.0
138;;Albania;21/02/2020;0.0;0.0
139;;Albania;22/02/2020;0.0;0.0
140;;Albania;23/02/2020;0.0;0.0
141;;Albania;24/02/2020;0.0;0.0
142;;Albania;25/02/2020;0.0;0.0
143;;Albania;26/02/2020;0.0;0.0
144;;Albania;27/02/2020;0.0;0.0
145;;Albania;28/02/2020;0.0;0.0
146;;Albania;29/02/2020;0.0;0.0
147;;Albania;01/03/2020;0.0;0.0
148;;Albania;02/03/2020;0.0;0.0
149;;Albania;03/03/2020;0.0;0.0
150;;Albania;04/03/2020;0.0;0.0
151;;Albania;05/03/2020;0.0;0.0
152;;Albania;06/03/2020;0.0;0.0
153;;Albania;07/03/2020;0.0;0.0
154;;Albania;08/03/2020;0.0;0.0
155;;Albania;09/03/2020;2.0;0.0
156;;Albania;10/03/2020;10.0;0.0
157;;Albania;11/03/2020;12.0;1.0
158;;Albania;12/03/2020;23.0;1.0
159;;Albania;13/03/2020;33.0;1.0
160;;Albania;14/03/2020;38.0;1.0
161;;Albania;15/03/2020;42.0;1.0
162;;Albania;16/03/2020;51.0;1.0
163;;Albania;17/03/2020;55.0;1.0
164;;Albania;18/03/2020;59.0;2.0
165;;Albania;19/03/2020;64.0;2.0
166;;Albania;20/03/2020;70.0;2.0
167;;Albania;21/03/2020;76.0;2.0
168;;Albania;22/03/2020;89.0;2.0
169;;Albania;23/03/2020;104.0;4.0
170;;Albania;24/03/2020;123.0;5.0
171;;Albania;25/03/2020;146.0;5.0
172;;Albania;26/03/2020;174.0;6.0
173;;Albania;27/03/2020;186.0;8.0
174;;Albania;28/03/2020;197.0;10.0
175;;Albania;29/03/2020;212.0;10.0
176;;Albania;30/03/2020;223.0;11.0
177;;Albania;31/03/2020;243.0;15.0
178;;Albania;01/04/2020;259.0;15.0
179;;Albania;02/04/2020;277.0;16.0
180;;Albania;03/04/2020;304.0;17.0
181;;Albania;04/04/2020;333.0;20.0
182;;Albania;05/04/2020;361.0;20.0
183;;Albania;06/04/2020;377.0;21.0
184;;Albania;07/04/2020;383.0;22.0
215;;Algeria;22/01/2020;0.0;0.0
216;;Algeria;23/01/2020;0.0;0.0
217;;Algeria;24/01/2020;0.0;0.0
218;;Algeria;25/01/2020;0.0;0.0
219;;Algeria;26/01/2020;0.0;0.0
220;;Algeria;27/01/2020;0.0;0.0
221;;Algeria;28/01/2020;0.0;0.0
222;;Algeria;29/01/2020;0.0;0.0
223;;Algeria;30/01/2020;0.0;0.0
224;;Algeria;31/01/2020;0.0;0.0
225;;Algeria;01/02/2020;0.0;0.0
226;;Algeria;02/02/2020;0.0;0.0
227;;Algeria;03/02/2020;0.0;0.0
228;;Algeria;04/02/2020;0.0;0.0
229;;Algeria;05/02/2020;0.0;0.0
230;;Algeria;06/02/2020;0.0;0.0
231;;Algeria;07/02/2020;0.0;0.0
232;;Algeria;08/02/2020;0.0;0.0
233;;Algeria;09/02/2020;0.0;0.0
234;;Algeria;10/02/2020;0.0;0.0
235;;Algeria;11/02/2020;0.0;0.0
236;;Algeria;12/02/2020;0.0;0.0
237;;Algeria;13/02/2020;0.0;0.0
238;;Algeria;14/02/2020;0.0;0.0
239;;Algeria;15/02/2020;0.0;0.0
240;;Algeria;16/02/2020;0.0;0.0
241;;Algeria;17/02/2020;0.0;0.0
242;;Algeria;18/02/2020;0.0;0.0
243;;Algeria;19/02/2020;0.0;0.0
244;;Algeria;20/02/2020;0.0;0.0
245;;Algeria;21/02/2020;0.0;0.0
246;;Algeria;22/02/2020;0.0;0.0
247;;Algeria;23/02/2020;0.0;0.0
248;;Algeria;24/02/2020;0.0;0.0
249;;Algeria;25/02/2020;1.0;0.0
250;;Algeria;26/02/2020;1.0;0.0
251;;Algeria;27/02/2020;1.0;0.0
252;;Algeria;28/02/2020;1.0;0.0
253;;Algeria;29/02/2020;1.0;0.0
254;;Algeria;01/03/2020;1.0;0.0
255;;Algeria;02/03/2020;3.0;0.0
256;;Algeria;03/03/2020;5.0;0.0
257;;Algeria;04/03/2020;12.0;0.0
258;;Algeria;05/03/2020;12.0;0.0
259;;Algeria;06/03/2020;17.0;0.0
260;;Algeria;07/03/2020;17.0;0.0
261;;Algeria;08/03/2020;19.0;0.0
262;;Algeria;09/03/2020;20.0;0.0
263;;Algeria;10/03/2020;20.0;0.0
264;;Algeria;11/03/2020;20.0;0.0
265;;Algeria;12/03/2020;24.0;1.0
266;;Algeria;13/03/2020;26.0;2.0
267;;Algeria;14/03/2020;37.0;3.0
268;;Algeria;15/03/2020;48.0;4.0
269;;Algeria;16/03/2020;54.0;4.0
270;;Algeria;17/03/2020;60.0;4.0
271;;Algeria;18/03/2020;74.0;7.0
272;;Algeria;19/03/2020;87.0;9.0
273;;Algeria;20/03/2020;90.0;11.0
274;;Algeria;21/03/2020;139.0;15.0
275;;Algeria;22/03/2020;201.0;17.0
276;;Algeria;23/03/2020;230.0;17.0
277;;Algeria;24/03/2020;264.0;19.0
278;;Algeria;25/03/2020;302.0;21.0
279;;Algeria;26/03/2020;367.0;25.0
280;;Algeria;27/03/2020;409.0;26.0
281;;Algeria;28/03/2020;454.0;29.0
282;;Algeria;29/03/2020;511.0;31.0
283;;Algeria;30/03/2020;584.0;35.0
284;;Algeria;31/03/2020;716.0;44.0
285;;Algeria;01/04/2020;847.0;58.0
286;;Algeria;02/04/2020;986.0;86.0
287;;Algeria;03/04/2020;1171.0;105.0
288;;Algeria;04/04/2020;1251.0;130.0
289;;Algeria;05/04/2020;1320.0;152.0
290;;Algeria;06/04/2020;1423.0;173.0
291;;Algeria;07/04/2020;1468.0;193.0
322;;Andorra;22/01/2020;0.0;0.0
323;;Andorra;23/01/2020;0.0;0.0
324;;Andorra;24/01/2020;0.0;0.0
325;;Andorra;25/01/2020;0.0;0.0
326;;Andorra;26/01/2020;0.0;0.0
327;;Andorra;27/01/2020;0.0;0.0
328;;Andorra;28/01/2020;0.0;0.0
329;;Andorra;29/01/2020;0.0;0.0
330;;Andorra;30/01/2020;0.0;0.0
331;;Andorra;31/01/2020;0.0;0.0
332;;Andorra;01/02/2020;0.0;0.0
333;;Andorra;02/02/2020;0.0;0.0
334;;Andorra;03/02/2020;0.0;0.0
335;;Andorra;04/02/2020;0.0;0.0
336;;Andorra;05/02/2020;0.0;0.0
337;;Andorra;06/02/2020;0.0;0.0
338;;Andorra;07/02/2020;0.0;0.0
339;;Andorra;08/02/2020;0.0;0.0
340;;Andorra;09/02/2020;0.0;0.0
341;;Andorra;10/02/2020;0.0;0.0
342;;Andorra;11/02/2020;0.0;0.0
343;;Andorra;12/02/2020;0.0;0.0
344;;Andorra;13/02/2020;0.0;0.0
345;;Andorra;14/02/2020;0.0;0.0
346;;Andorra;15/02/2020;0.0;0.0
347;;Andorra;16/02/2020;0.0;0.0
348;;Andorra;17/02/2020;0.0;0.0
349;;Andorra;18/02/2020;0.0;0.0
350;;Andorra;19/02/2020;0.0;0.0
351;;Andorra;20/02/2020;0.0;0.0
352;;Andorra;21/02/2020;0.0;0.0
353;;Andorra;22/02/2020;0.0;0.0
354;;Andorra;23/02/2020;0.0;0.0
355;;Andorra;24/02/2020;0.0;0.0
356;;Andorra;25/02/2020;0.0;0.0
357;;Andorra;26/02/2020;0.0;0.0
358;;Andorra;27/02/2020;0.0;0.0
359;;Andorra;28/02/2020;0.0;0.0
360;;Andorra;29/02/2020;0.0;0.0
361;;Andorra;01/03/2020;0.0;0.0
362;;Andorra;02/03/2020;1.0;0.0
363;;Andorra;03/03/2020;1.0;0.0
364;;Andorra;04/03/2020;1.0;0.0
365;;Andorra;05/03/2020;1.0;0.0
366;;Andorra;06/03/2020;1.0;0.0
367;;Andorra;07/03/2020;1.0;0.0
368;;Andorra;08/03/2020;1.0;0.0
369;;Andorra;09/03/2020;1.0;0.0
370;;Andorra;10/03/2020;1.0;0.0
371;;Andorra;11/03/2020;1.0;0.0
372;;Andorra;12/03/2020;1.0;0.0
373;;Andorra;13/03/2020;1.0;0.0
374;;Andorra;14/03/2020;1.0;0.0
375;;Andorra;15/03/2020;1.0;0.0
376;;Andorra;16/03/2020;2.0;0.0
377;;Andorra;17/03/2020;39.0;0.0
378;;Andorra;18/03/2020;39.0;0.0
379;;Andorra;19/03/2020;53.0;0.0
380;;Andorra;20/03/2020;75.0;0.0
381;;Andorra;21/03/2020;88.0;0.0
382;;Andorra;22/03/2020;113.0;1.0
383;;Andorra;23/03/2020;133.0;1.0
384;;Andorra;24/03/2020;164.0;1.0
385;;Andorra;25/03/2020;188.0;1.0
386;;Andorra;26/03/2020;224.0;3.0
387;;Andorra;27/03/2020;267.0;3.0
388;;Andorra;28/03/2020;308.0;3.0
389;;Andorra;29/03/2020;334.0;6.0
390;;Andorra;30/03/2020;370.0;8.0
391;;Andorra;31/03/2020;376.0;12.0
392;;Andorra;01/04/2020;390.0;14.0
393;;Andorra;02/04/2020;428.0;15.0
394;;Andorra;03/04/2020;439.0;16.0
395;;Andorra;04/04/2020;466.0;17.0
396;;Andorra;05/04/2020;501.0;18.0
397;;Andorra;06/04/2020;525.0;21.0
398;;Andorra;07/04/2020;545.0;22.0
429;;Angola;22/01/2020;0.0;0.0
430;;Angola;23/01/2020;0.0;0.0
431;;Angola;24/01/2020;0.0;0.0
432;;Angola;25/01/2020;0.0;0.0
433;;Angola;26/01/2020;0.0;0.0
434;;Angola;27/01/2020;0.0;0.0
435;;Angola;28/01/2020;0.0;0.0
436;;Angola;29/01/2020;0.0;0.0
437;;Angola;30/01/2020;0.0;0.0
438;;Angola;31/01/2020;0.0;0.0
439;;Angola;01/02/2020;0.0;0.0
440;;Angola;02/02/2020;0.0;0.0
441;;Angola;03/02/2020;0.0;0.0
442;;Angola;04/02/2020;0.0;0.0
443;;Angola;05/02/2020;0.0;0.0
444;;Angola;06/02/2020;0.0;0.0
445;;Angola;07/02/2020;0.0;0.0
446;;Angola;08/02/2020;0.0;0.0
447;;Angola;09/02/2020;0.0;0.0
448;;Angola;10/02/2020;0.0;0.0
449;;Angola;11/02/2020;0.0;0.0
450;;Angola;12/02/2020;0.0;0.0
451;;Angola;13/02/2020;0.0;0.0
452;;Angola;14/02/2020;0.0;0.0
453;;Angola;15/02/2020;0.0;0.0
454;;Angola;16/02/2020;0.0;0.0
455;;Angola;17/02/2020;0.0;0.0
456;;Angola;18/02/2020;0.0;0.0
457;;Angola;19/02/2020;0.0;0.0
458;;Angola;20/02/2020;0.0;0.0
459;;Angola;21/02/2020;0.0;0.0
460;;Angola;22/02/2020;0.0;0.0
461;;Angola;23/02/2020;0.0;0.0
462;;Angola;24/02/2020;0.0;0.0
463;;Angola;25/02/2020;0.0;0.0
464;;Angola;26/02/2020;0.0;0.0
465;;Angola;27/02/2020;0.0;0.0
466;;Angola;28/02/2020;0.0;0.0
467;;Angola;29/02/2020;0.0;0.0
468;;Angola;01/03/2020;0.0;0.0
469;;Angola;02/03/2020;0.0;0.0
470;;Angola;03/03/2020;0.0;0.0
471;;Angola;04/03/2020;0.0;0.0
472;;Angola;05/03/2020;0.0;0.0
473;;Angola;06/03/2020;0.0;0.0
474;;Angola;07/03/2020;0.0;0.0
475;;Angola;08/03/2020;0.0;0.0
476;;Angola;09/03/2020;0.0;0.0
477;;Angola;10/03/2020;0.0;0.0
478;;Angola;11/03/2020;0.0;0.0
479;;Angola;12/03/2020;0.0;0.0
480;;Angola;13/03/2020;0.0;0.0
481;;Angola;14/03/2020;0.0;0.0
482;;Angola;15/03/2020;0.0;0.0
483;;Angola;16/03/2020;0.0;0.0
484;;Angola;17/03/2020;0.0;0.0
485;;Angola;18/03/2020;0.0;0.0
486;;Angola;19/03/2020;0.0;0.0
487;;Angola;20/03/2020;1.0;0.0
488;;Angola;21/03/2020;2.0;0.0
489;;Angola;22/03/2020;2.0;0.0
490;;Angola;23/03/2020;3.0;0.0
491;;Angola;24/03/2020;3.0;0.0
492;;Angola;25/03/2020;3.0;0.0
493;;Angola;26/03/2020;4.0;0.0
494;;Angola;27/03/2020;4.0;0.0
495;;Angola;28/03/2020;5.0;0.0
496;;Angola;29/03/2020;7.0;2.0
497;;Angola;30/03/2020;7.0;2.0
498;;Angola;31/03/2020;7.0;2.0
499;;Angola;01/04/2020;8.0;2.0
500;;Angola;02/04/2020;8.0;2.0
501;;Angola;03/04/2020;8.0;2.0
502;;Angola;04/04/2020;10.0;2.0
503;;Angola;05/04/2020;14.0;2.0
504;;Angola;06/04/2020;16.0;2.0
505;;Angola;07/04/2020;17.0;2.0
536;;Antigua and Barbuda;22/01/2020;0.0;0.0
537;;Antigua and Barbuda;23/01/2020;0.0;0.0
538;;Antigua and Barbuda;24/01/2020;0.0;0.0
539;;Antigua and Barbuda;25/01/2020;0.0;0.0
540;;Antigua and Barbuda;26/01/2020;0.0;0.0
541;;Antigua and Barbuda;27/01/2020;0.0;0.0
542;;Antigua and Barbuda;28/01/2020;0.0;0.0
543;;Antigua and Barbuda;29/01/2020;0.0;0.0
544;;Antigua and Barbuda;30/01/2020;0.0;0.0
545;;Antigua and Barbuda;31/01/2020;0.0;0.0
546;;Antigua and Barbuda;01/02/2020;0.0;0.0
547;;Antigua and Barbuda;02/02/2020;0.0;0.0
548;;Antigua and Barbuda;03/02/2020;0.0;0.0
549;;Antigua and Barbuda;04/02/2020;0.0;0.0
550;;Antigua and Barbuda;05/02/2020;0.0;0.0
551;;Antigua and Barbuda;06/02/2020;0.0;0.0
552;;Antigua and Barbuda;07/02/2020;0.0;0.0
553;;Antigua and Barbuda;08/02/2020;0.0;0.0
554;;Antigua and Barbuda;09/02/2020;0.0;0.0
555;;Antigua and Barbuda;10/02/2020;0.0;0.0
556;;Antigua and Barbuda;11/02/2020;0.0;0.0
557;;Antigua and Barbuda;12/02/2020;0.0;0.0
558;;Antigua and Barbuda;13/02/2020;0.0;0.0
559;;Antigua and Barbuda;14/02/2020;0.0;0.0
560;;Antigua and Barbuda;15/02/2020;0.0;0.0
561;;Antigua and Barbuda;16/02/2020;0.0;0.0
562;;Antigua and Barbuda;17/02/2020;0.0;0.0
563;;Antigua and Barbuda;18/02/2020;0.0;0.0
564;;Antigua and Barbuda;19/02/2020;0.0;0.0
565;;Antigua and Barbuda;20/02/2020;0.0;0.0
566;;Antigua and Barbuda;21/02/2020;0.0;0.0
567;;Antigua and Barbuda;22/02/2020;0.0;0.0
568;;Antigua and Barbuda;23/02/2020;0.0;0.0
569;;Antigua and Barbuda;24/02/2020;0.0;0.0
570;;Antigua and Barbuda;25/02/2020;0.0;0.0
571;;Antigua and Barbuda;26/02/2020;0.0;0.0
572;;Antigua and Barbuda;27/02/2020;0.0;0.0
573;;Antigua and Barbuda;28/02/2020;0.0;0.0
574;;Antigua and Barbuda;29/02/2020;0.0;0.0
575;;Antigua and Barbuda;01/03/2020;0.0;0.0
576;;Antigua and Barbuda;02/03/2020;0.0;0.0
577;;Antigua and Barbuda;03/03/2020;0.0;0.0
578;;Antigua and Barbuda;04/03/2020;0.0;0.0
579;;Antigua and Barbuda;05/03/2020;0.0;0.0
580;;Antigua and Barbuda;06/03/2020;0.0;0.0
581;;Antigua and Barbuda;07/03/2020;0.0;0.0
582;;Antigua and Barbuda;08/03/2020;0.0;0.0
583;;Antigua and Barbuda;09/03/2020;0.0;0.0
584;;Antigua and Barbuda;10/03/2020;0.0;0.0
585;;Antigua and Barbuda;11/03/2020;0.0;0.0
586;;Antigua and Barbuda;12/03/2020;0.0;0.0
587;;Antigua and Barbuda;13/03/2020;1.0;0.0
588;;Antigua and Barbuda;14/03/2020;1.0;0.0
589;;Antigua and Barbuda;15/03/2020;1.0;0.0
590;;Antigua and Barbuda;16/03/2020;1.0;0.0
591;;Antigua and Barbuda;17/03/2020;1.0;0.0
592;;Antigua and Barbuda;18/03/2020;1.0;0.0
593;;Antigua and Barbuda;19/03/2020;1.0;0.0
594;;Antigua and Barbuda;20/03/2020;1.0;0.0
595;;Antigua and Barbuda;21/03/2020;1.0;0.0
596;;Antigua and Barbuda;22/03/2020;1.0;0.0
597;;Antigua and Barbuda;23/03/2020;3.0;0.0
598;;Antigua and Barbuda;24/03/2020;3.0;0.0
599;;Antigua and Barbuda;25/03/2020;3.0;0.0
600;;Antigua and Barbuda;26/03/2020;7.0;0.0
601;;Antigua and Barbuda;27/03/2020;7.0;0.0
602;;Antigua and Barbuda;28/03/2020;7.0;0.0
603;;Antigua and Barbuda;29/03/2020;7.0;0.0
604;;Antigua and Barbuda;30/03/2020;7.0;0.0
605;;Antigua and Barbuda;31/03/2020;7.0;0.0
606;;Antigua and Barbuda;01/04/2020;7.0;0.0
607;;Antigua and Barbuda;02/04/2020;9.0;0.0
608;;Antigua and Barbuda;03/04/2020;15.0;0.0
609;;Antigua and Barbuda;04/04/2020;15.0;0.0
610;;Antigua and Barbuda;05/04/2020;15.0;0.0
611;;Antigua and Barbuda;06/04/2020;15.0;0.0
612;;Antigua and Barbuda;07/04/2020;19.0;1.0
643;;Argentina;22/01/2020;0.0;0.0
644;;Argentina;23/01/2020;0.0;0.0
645;;Argentina;24/01/2020;0.0;0.0
646;;Argentina;25/01/2020;0.0;0.0
647;;Argentina;26/01/2020;0.0;0.0
648;;Argentina;27/01/2020;0.0;0.0
649;;Argentina;28/01/2020;0.0;0.0
650;;Argentina;29/01/2020;0.0;0.0
651;;Argentina;30/01/2020;0.0;0.0
652;;Argentina;31/01/2020;0.0;0.0
653;;Argentina;01/02/2020;0.0;0.0
654;;Argentina;02/02/2020;0.0;0.0
655;;Argentina;03/02/2020;0.0;0.0
656;;Argentina;04/02/2020;0.0;0.0
657;;Argentina;05/02/2020;0.0;0.0
658;;Argentina;06/02/2020;0.0;0.0
659;;Argentina;07/02/2020;0.0;0.0
660;;Argentina;08/02/2020;0.0;0.0
661;;Argentina;09/02/2020;0.0;0.0
662;;Argentina;10/02/2020;0.0;0.0
663;;Argentina;11/02/2020;0.0;0.0
664;;Argentina;12/02/2020;0.0;0.0
665;;Argentina;13/02/2020;0.0;0.0
666;;Argentina;14/02/2020;0.0;0.0
667;;Argentina;15/02/2020;0.0;0.0
668;;Argentina;16/02/2020;0.0;0.0
669;;Argentina;17/02/2020;0.0;0.0
670;;Argentina;18/02/2020;0.0;0.0
671;;Argentina;19/02/2020;0.0;0.0
672;;Argentina;20/02/2020;0.0;0.0
673;;Argentina;21/02/2020;0.0;0.0
674;;Argentina;22/02/2020;0.0;0.0
675;;Argentina;23/02/2020;0.0;0.0
676;;Argentina;24/02/2020;0.0;0.0
677;;Argentina;25/02/2020;0.0;0.0
678;;Argentina;26/02/2020;0.0;0.0
679;;Argentina;27/02/2020;0.0;0.0
680;;Argentina;28/02/2020;0.0;0.0
681;;Argentina;29/02/2020;0.0;0.0
682;;Argentina;01/03/2020;0.0;0.0
683;;Argentina;02/03/2020;0.0;0.0
684;;Argentina;03/03/2020;1.0;0.0
685;;Argentina;04/03/2020;1.0;0.0
686;;Argentina;05/03/2020;1.0;0.0
687;;Argentina;06/03/2020;2.0;0.0
688;;Argentina;07/03/2020;8.0;0.0
689;;Argentina;08/03/2020;12.0;1.0
690;;Argentina;09/03/2020;12.0;1.0
691;;Argentina;10/03/2020;17.0;1.0
692;;Argentina;11/03/2020;19.0;1.0
693;;Argentina;12/03/2020;19.0;1.0
694;;Argentina;13/03/2020;31.0;2.0
695;;Argentina;14/03/2020;34.0;2.0
696;;Argentina;15/03/2020;45.0;2.0
697;;Argentina;16/03/2020;56.0;2.0
698;;Argentina;17/03/2020;68.0;2.0
699;;Argentina;18/03/2020;79.0;2.0
700;;Argentina;19/03/2020;97.0;3.0
701;;Argentina;20/03/2020;128.0;3.0
702;;Argentina;21/03/2020;158.0;4.0
703;;Argentina;22/03/2020;266.0;4.0
704;;Argentina;23/03/2020;301.0;4.0
705;;Argentina;24/03/2020;387.0;6.0
706;;Argentina;25/03/2020;387.0;8.0
707;;Argentina;26/03/2020;502.0;9.0
708;;Argentina;27/03/2020;589.0;13.0
709;;Argentina;28/03/2020;690.0;18.0
710;;Argentina;29/03/2020;745.0;19.0
711;;Argentina;30/03/2020;820.0;23.0
712;;Argentina;31/03/2020;1054.0;27.0
713;;Argentina;01/04/2020;1054.0;28.0
714;;Argentina;02/04/2020;1133.0;36.0
715;;Argentina;03/04/2020;1265.0;39.0
716;;Argentina;04/04/2020;1451.0;43.0
717;;Argentina;05/04/2020;1451.0;44.0
718;;Argentina;06/04/2020;1554.0;48.0
719;;Argentina;07/04/2020;1628.0;56.0
750;;Armenia;22/01/2020;0.0;0.0
751;;Armenia;23/01/2020;0.0;0.0
752;;Armenia;24/01/2020;0.0;0.0
753;;Armenia;25/01/2020;0.0;0.0
754;;Armenia;26/01/2020;0.0;0.0
755;;Armenia;27/01/2020;0.0;0.0
756;;Armenia;28/01/2020;0.0;0.0
757;;Armenia;29/01/2020;0.0;0.0
758;;Armenia;30/01/2020;0.0;0.0
759;;Armenia;31/01/2020;0.0;0.0
760;;Armenia;01/02/2020;0.0;0.0
761;;Armenia;02/02/2020;0.0;0.0
762;;Armenia;03/02/2020;0.0;0.0
763;;Armenia;04/02/2020;0.0;0.0
764;;Armenia;05/02/2020;0.0;0.0
765;;Armenia;06/02/2020;0.0;0.0
766;;Armenia;07/02/2020;0.0;0.0
767;;Armenia;08/02/2020;0.0;0.0
768;;Armenia;09/02/2020;0.0;0.0
769;;Armenia;10/02/2020;0.0;0.0
770;;Armenia;11/02/2020;0.0;0.0
771;;Armenia;12/02/2020;0.0;0.0
772;;Armenia;13/02/2020;0.0;0.0
773;;Armenia;14/02/2020;0.0;0.0
774;;Armenia;15/02/2020;0.0;0.0
775;;Armenia;16/02/2020;0.0;0.0
776;;Armenia;17/02/2020;0.0;0.0
777;;Armenia;18/02/2020;0.0;0.0
778;;Armenia;19/02/2020;0.0;0.0
779;;Armenia;20/02/2020;0.0;0.0
780;;Armenia;21/02/2020;0.0;0.0
781;;Armenia;22/02/2020;0.0;0.0
782;;Armenia;23/02/2020;0.0;0.0
783;;Armenia;24/02/2020;0.0;0.0
784;;Armenia;25/02/2020;0.0;0.0
785;;Armenia;26/02/2020;0.0;0.0
786;;Armenia;27/02/2020;0.0;0.0
787;;Armenia;28/02/2020;0.0;0.0
788;;Armenia;29/02/2020;0.0;0.0
789;;Armenia;01/03/2020;1.0;0.0
790;;Armenia;02/03/2020;1.0;0.0
791;;Armenia;03/03/2020;1.0;0.0
792;;Armenia;04/03/2020;1.0;0.0
793;;Armenia;05/03/2020;1.0;0.0
794;;Armenia;06/03/2020;1.0;0.0
795;;Armenia;07/03/2020;1.0;0.0
